id,Series_Title,Released_Year,Runtime,Genre,Overview,Director
424,Butch Cassidy and the Sundance Kid,1969,110 min,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill
425,Rosemary's Baby,1968,137 min,"Drama, Horror",A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,Roman Polanski
426,Planet of the Apes,1968,112 min,"Adventure, Sci-Fi","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Franklin J. Schaffner
427,The Graduate,1967,106 min,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols
428,Who's Afraid of Virginia Woolf?,1966,131 min,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Mike Nichols
429,The Sound of Music,1965,172 min,"Biography, Drama, Family",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,Robert Wise
430,Doctor Zhivago,1965,197 min,"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",David Lean
431,Per un pugno di dollari,1964,99 min,"Action, Drama, Western","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Sergio Leone
432,8½,1963,138 min,Drama,A harried movie director retreats into his memories and fantasies.,Federico Fellini
433,Vivre sa vie: Film en douze tableaux,1962,80 min,Drama,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Jean-Luc Godard
434,The Hustler,1961,134 min,"Drama, Sport",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen
435,La dolce vita,1960,174 min,"Comedy, Drama",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,Federico Fellini
436,Rio Bravo,1959,141 min,"Action, Drama, Western","A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks
437,Anatomy of a Murder,1959,161 min,"Crime, Drama, Mystery","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger
438,Touch of Evil,1958,95 min,"Crime, Drama, Film-Noir","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Orson Welles
439,Cat on a Hot Tin Roof,1958,108 min,Drama,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Richard Brooks
440,Sweet Smell of Success,1957,96 min,"Drama, Film-Noir",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Alexander Mackendrick
441,The Killing,1956,84 min,"Crime, Drama, Film-Noir",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,Stanley Kubrick
442,The Night of the Hunter,1955,92 min,"Crime, Drama, Film-Noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton
443,La Strada,1954,108 min,Drama,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini
444,Les diaboliques,1955,117 min,"Crime, Drama, Horror",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot
445,Stalag 17,1953,120 min,"Comedy, Drama, War","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Billy Wilder
446,Roman Holiday,1953,118 min,"Comedy, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler
447,A Streetcar Named Desire,1951,122 min,Drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Elia Kazan
448,In a Lonely Place,1950,94 min,"Drama, Film-Noir, Mystery","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Nicholas Ray
449,Kind Hearts and Coronets,1949,106 min,"Comedy, Crime",A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Robert Hamer
450,Rope,1948,80 min,"Crime, Drama, Mystery",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Alfred Hitchcock
451,Out of the Past,1947,97 min,"Crime, Drama, Film-Noir","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",Jacques Tourneur
452,Brief Encounter,1945,86 min,"Drama, Romance","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",David Lean
453,Laura,1944,88 min,"Drama, Film-Noir, Mystery",A police detective falls in love with the woman whose murder he is investigating.,Otto Preminger
454,The Best Years of Our Lives,1946,170 min,"Drama, Romance, War",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,William Wyler
455,Arsenic and Old Lace,1942,118 min,"Comedy, Crime, Thriller",A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,Frank Capra
456,The Maltese Falcon,1941,100 min,"Film-Noir, Mystery","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",John Huston
457,The Grapes of Wrath,1940,129 min,"Drama, History","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford
458,The Wizard of Oz,1939,102 min,"Adventure, Family, Fantasy",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,Victor Fleming
459,La règle du jeu,1939,110 min,"Comedy, Drama","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Jean Renoir
460,The Thin Man,1934,91 min,"Comedy, Crime, Mystery","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke
461,All Quiet on the Western Front,1930,152 min,"Drama, War","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Lewis Milestone
462,Bronenosets Potemkin,1925,75 min,"Drama, History, Thriller","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Sergei M. Eisenstein
463,Knives Out,2019,130 min,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family.",Rian Johnson
464,Dil Bechara,2020,101 min,"Comedy, Drama, Romance","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Mukesh Chhabra
465,Manbiki kazoku,2018,121 min,"Crime, Drama",A family of small-time crooks take in a child they find outside in the cold.,Hirokazu Koreeda
466,Marriage Story,2019,137 min,"Comedy, Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Noah Baumbach
467,Call Me by Your Name,2017,132 min,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Luca Guadagnino
468,"I, Daniel Blake",2016,100 min,Drama,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Ken Loach
469,Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Wes Anderson
470,Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Taika Waititi
471,Captain Fantastic,2016,118 min,"Comedy, Drama","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Matt Ross
