id,Series_Title,Released_Year,Runtime,Genre,Overview,Director
337,Serbuan maut 2: Berandal,2014,150 min,"Action, Crime, Thriller","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans
338,The Imitation Game,2014,114 min,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Morten Tyldum
339,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn
340,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve
341,Her,2013,126 min,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze
342,Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer
343,The Revenant,2015,156 min,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu
344,The Perks of Being a Wallflower,2012,103 min,"Drama, Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Stephen Chbosky
345,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha
346,The King's Speech,2010,118 min,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper
347,The Help,2011,146 min,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor
348,Deadpool,2016,108 min,"Action, Adventure, Comedy","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller
349,Darbareye Elly,2009,119 min,"Drama, Mystery",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi
350,Dev.D,2009,144 min,"Drama, Romance","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Anurag Kashyap
351,Yip Man,2008,106 min,"Action, Biography, Drama","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip
352,My Name Is Khan,2010,165 min,Drama,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar
353,Nefes: Vatan Sagolsun,2009,128 min,"Action, Drama, Thriller",Story of 40-man Turkish task force who must defend a relay station.,Levent Semerci
354,Slumdog Millionaire,2008,120 min,"Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Danny Boyle
355,Black Swan,2010,108 min,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky
356,Tropa de Elite,2007,115 min,"Action, Crime, Drama","In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha
357,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon
358,Persepolis,2007,96 min,"Animation, Biography, Drama",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Vincent Paronnaud
359,Dallas Buyers Club,2013,117 min,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée
360,The Pursuit of Happyness,2006,117 min,"Biography, Drama",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino
361,Blood Diamond,2006,143 min,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick
362,The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass
363,Bin-jip,2004,88 min,"Crime, Drama, Romance",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Ki-duk Kim
364,Sin City,2005,124 min,"Crime, Thriller","A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",Frank Miller
365,Le scaphandre et le papillon,2007,112 min,"Biography, Drama",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Julian Schnabel
366,G.O.R.A.,2004,127 min,"Adventure, Comedy, Sci-Fi",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Ömer Faruk Sorak
367,Ratatouille,2007,111 min,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Brad Bird
368,Casino Royale,2006,144 min,"Action, Adventure, Thriller","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell
369,Kill Bill: Vol. 2,2004,137 min,"Action, Crime, Thriller","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino
370,Vozvrashchenie,2003,110 min,Drama,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Andrey Zvyagintsev
371,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103 min,"Drama, Romance",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Ki-duk Kim
372,Mar adentro,2014,126 min,"Biography, Drama","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",Alejandro Amenábar
373,Cinderella Man,2005,144 min,"Biography, Drama, History","The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Ron Howard
374,Kal Ho Naa Ho,2003,186 min,"Comedy, Drama, Musical","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani
375,Mou gaan dou,2002,101 min,"Action, Crime, Drama","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Andrew Lau
376,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski
377,Big Fish,2003,125 min,"Adventure, Drama, Fantasy",A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton
378,The Incredibles,2004,115 min,"Animation, Action, Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Brad Bird
379,Yeopgijeogin geunyeo,2001,137 min,"Comedy, Drama, Romance","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Jae-young Kwak
380,Dogville,2003,178 min,"Crime, Drama","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier
381,Vizontele,2001,110 min,"Comedy, Drama",Lives of residents in a small Anatolian village change when television is introduced to them,Yilmaz Erdogan
382,Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly
383,Magnolia,1999,188 min,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Paul Thomas Anderson
384,Dancer in the Dark,2000,140 min,"Crime, Drama, Musical","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Lars von Trier
385,The Straight Story,1999,112 min,"Biography, Drama",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,David Lynch
386,Pâfekuto burû,1997,81 min,"Animation, Crime, Mystery","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon
387,Festen,1998,105 min,Drama,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg
388,Central do Brasil,1998,110 min,Drama,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Walter Salles
389,The Iron Giant,1999,86 min,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird
390,Knockin' on Heaven's Door,1997,87 min,"Action, Crime, Comedy","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Thomas Jahn
391,Sling Blade,1996,135 min,Drama,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton
392,Secrets & Lies,1996,136 min,"Comedy, Drama","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh
393,Twelve Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam
394,Kôkaku Kidôtai,1995,83 min,"Animation, Action, Crime",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii
395,The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick
396,Groundhog Day,1993,101 min,"Comedy, Fantasy, Romance",A weatherman finds himself inexplicably living the same day over and over again.,Harold Ramis
397,Bound by Honor,1993,180 min,"Crime, Drama","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Taylor Hackford
398,Scent of a Woman,1992,156 min,Drama,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest
399,Aladdin,1992,90 min,"Animation, Adventure, Comedy",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements
400,JFK,1991,189 min,"Drama, History, Thriller",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone
401,Beauty and the Beast,1991,84 min,"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale
402,Dances with Wolves,1990,181 min,"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner
403,Do the Right Thing,1989,120 min,"Comedy, Drama","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee
404,Rain Man,1988,133 min,Drama,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Barry Levinson
405,Akira,1988,124 min,"Animation, Action, Sci-Fi",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Katsuhiro Ôtomo
406,The Princess Bride,1987,98 min,"Adventure, Family, Fantasy","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner
407,Der Himmel über Berlin,1987,128 min,"Drama, Fantasy, Romance",An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Wim Wenders
408,Au revoir les enfants,1987,104 min,"Drama, War","A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",Louis Malle
409,Tenkû no shiro Rapyuta,1986,125 min,"Animation, Adventure, Drama",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki
410,The Terminator,1984,107 min,"Action, Sci-Fi","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron
411,Gandhi,1982,191 min,"Biography, Drama, History",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough
412,Kagemusha,1980,180 min,"Drama, History, War",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Akira Kurosawa
413,Being There,1979,130 min,"Comedy, Drama","A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Hal Ashby
414,Annie Hall,1977,93 min,"Comedy, Romance",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,Woody Allen
415,Jaws,1975,124 min,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg
416,Dog Day Afternoon,1975,125 min,"Biography, Crime, Drama","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet
417,Young Frankenstein,1974,106 min,Comedy,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks
418,Papillon,1973,151 min,"Biography, Crime, Drama","A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Franklin J. Schaffner
419,The Exorcist,1973,122 min,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",William Friedkin
420,Sleuth,1972,138 min,"Mystery, Thriller","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz
421,The Last Picture Show,1971,118 min,"Drama, Romance","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich
422,Fiddler on the Roof,1971,181 min,"Drama, Family, Musical","In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Norman Jewison
423,Il conformista,1970,113 min,Drama,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Bernardo Bertolucci
